PERMNO,date,EXCHCD,TICKER,COMNAM,CUSIP,SHROUT,PRC,RET,vwretd,ewretd
86457,3/2/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.74,-0.006593,-0.006863,-0.008066
86457,3/3/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.86,0.002275,0.000946,0.000047
86457,3/6/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.78,-0.001513,-0.003803,-0.006264
86457,3/7/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.78,0,-0.003425,-0.004504
86457,3/8/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.84,0.001137,-0.003245,-0.004193
86457,3/9/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.83,-0.000189,-0.000256,-0.003413
86457,3/10/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,53.11,0.0053,0.003455,0.003375
86457,3/13/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,53.16,0.000941,0.001658,0.005041
86457,3/14/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,53.04,-0.002257,-0.004187,-0.006419
86457,3/15/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,53.4,0.006787,0.010121,0.01192
86457,3/16/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,53.43,0.000562,-0.000618,0.003401
86457,3/17/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,53.34,0.002157,-0.000798,0.00229
86457,3/20/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,53.3706,0.000574,-0.002326,-0.002128
86457,3/21/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.61,-0.014251,-0.013597,-0.016334
86457,3/22/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.94,0.006273,0.001794,-0.002023
86457,3/23/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.8,-0.002644,0.000149,0.004103
86457,3/24/2017,4,XLK,SECTOR SPDR TRUST,81369Y80,316256,52.84,0.000758,-0.000319,0.001381
